installation_date,PV_system_size_DC,total_installed_price,rebate_or_grant,customer_segment,state,zip_code,utility_service_territory,third_party_owned,installer_name,tracking,ground_mounted,azimuth_1,tilt_1,module_manufacturer_1,module_model_1,module_quantity_1,technology_module_1,efficiency_module_1,inverter_manufacturer_1,inverter_model_1,output_capacity_inverter_1,inverter_loading_ratio,battery_rated_capacity_kWh,price_per_watt
24-11-2015,2.8,14702,2366,RES,CA,92314,bear valley electric,0,Ds Energy Solutions,,,,,"CSI Solar Co., Ltd.",CS6P-260P,11,Multi-c-Si,0.16787353,SolarEdge Technologies Ltd.,se3800a-us,3.79,0.7387863,,5.250714286
23-11-2015,2.04,8355.41,3216,RES,CA,92314,bear valley electric,0,Self,,,,,"CSI Solar Co., Ltd.",CS6P-255P,16,Multi-c-Si,0.1646452,Enphase Energy Inc.,m215-60-2ll-s2x,0.215,0.59302324,,4.095789216
28-01-2016,5.1,25500,3143,RES,CA,92315,bear valley electric,0,Tesla,,,,,Kyocera Solar,KU255-6BCA,20,Multi-c-Si,0.16092227,ABB,pvi-4.2-outd-s-us-z-a,4.2,1.2142857,,5
02-12-2015,3.12,15912,2405,RES,CA,92314,bear valley electric,0,Tesla,,,,,Kyocera Solar,KU260-6XPA,12,Multi-c-Si,0.16390827,ABB,pvi-3.0-outd-s-us-z-a,3,1.04,,5.1
28-01-2016,4.86,29650,3948,RES,CA,92314,bear valley electric,0,Sunsolar Us,,,,,Mitsubishi Electric,PV-MLE270HD,18,Mono-c-Si,0.18491124,SolarEdge Technologies Ltd.,se3800 [240v],3.79,1.2823219,,6.100823045
29-12-2015,6.4,25300,4600,RES,CA,92314,bear valley electric,0,Bear Mountain Solar Energy,,,,,-1,-1,23,-1,,SolarEdge Technologies Ltd.,se7600h-us [240v],7.616,0.84033614,,3.953125
28-12-2015,7.68,25200,5702,RES,CA,92314,bear valley electric,0,Bear Mountain Solar Energy,,,,,-1,-1,24,-1,,SolarEdge Technologies Ltd.,se7600h-us [240v],7.616,1.0084034,,3.28125
28-01-2016,5.72,22481.78,4631,RES,CA,92314,bear valley electric,0,Ris Electrical Contractors,,,,,"HYUNDAI ENERGY SOLUTIONS CO., LTD.",HiS-S260RG(BK),22,Mono-c-Si,0.15885429,Enphase Energy Inc.,m250-60-2ll-s2x (-zc) (-na) [240v],0.24,1.0833334,,3.930381119
30-12-2015,5.49,22500,4547,RES,CA,92314,bear valley electric,0,Green Volt Energy,,,,,LG Electronics Inc.,-1,18,-1,,-1,-1,,,,4.098360656
29-12-2015,4.68,22109,2901,RES,CA,92314,bear valley electric,0,Tesla,,,,,Kyocera Solar,KU260-6XPA,18,Multi-c-Si,0.16390827,ABB,pvi-3.6-outd-s-us-z-a [240v],3.6,1.3,,4.724145299
09-02-2016,3.805,18915,3055,RES,CA,92314,bear valley electric,0,Smart Solar Power,,,,,American Solar Wholesale,ASW-285M,13,Mono-c-Si,0.14732793,-1,-1,,,,4.97109067
11-09-2015,3.27,17004,2579,RES,CA,92314,bear valley electric,1,Green Homes Of Ca,,,,,SunPower,SPR-327NE-WHT-D,10,Mono-c-Si,0.20052566,Power-One,pvi-3.8-outd-s-us-a [240v],3.8,0.8605263,,5.2
01-10-2015,3.924,22366,3107,RES,CA,92314,bear valley electric,1,Green Homes Of Ca,,,,,SunPower,SPR-327NE-WHT-D,12,Mono-c-Si,0.20052566,SMA America,sb5000tl-us-22,4.58,0.85676855,,5.699796126
09-02-2016,5.04,17910,4073,RES,CA,92315,bear valley electric,0,Bear Mountain Solar Energy,,,,,-1,-1,18,-1,,SolarEdge Technologies Ltd.,se6000,5.33,0.945591,,3.553571429
29-09-2015,3.924,20404,3097,RES,CA,92314,bear valley electric,1,Green Homes Of Ca,,,,,SunPower,SPR-327NE-WHT-D,12,Mono-c-Si,0.20052566,SMA America,sb3000tl-us-22 [240v],3.05,1.2865574,,5.199796126
10-02-2016,5.3,25427,4096,RES,CA,92314,bear valley electric,0,Smart Solar Power,,,,,American Solar Wholesale,ASW-285M,18,Mono-c-Si,0.14732793,-1,-1,,,,4.79754717
11-09-2015,3.27,17004,,RES,CA,92314,bear valley electric,1,Green Homes Of Ca,,,,,SunPower,SPR-327NE-WHT-D,10,Mono-c-Si,0.20052566,Power-One,pvi-3.8-outd-s-us-a [240v],3.8,0.8605263,,5.2
11-02-2016,14.3,53800,10371,RES,CA,92314,bear valley electric,0,Bear Mountain Solar Energy,,,,,"HYUNDAI ENERGY SOLUTIONS CO., LTD.",HiS-S325TI,44,Mono-c-Si,0.16614862,SolarEdge Technologies Ltd.,se11400a-us [240v],11.39,0.62774366,,3.762237762
11-02-2016,3.6,18250,2676,RES,CA,92314,bear valley electric,0,Sea Bright Solar,,,,,SunPower,SPR-E20-327,11,Mono-c-Si,0.2006135,SMA America,sb3800tl-us-22 [240v],3.85,0.9350649,,5.069444444
11-02-2016,2.8,12750,2205,RES,CA,92315,bear valley electric,0,Steve Cooper Construction,,,,,-1,-1,10,-1,,-1,-1,,,,4.553571429
29-09-2015,1.507,29406,4471,RES,CA,92314,bear valley electric,1,Green Homes Of Ca,,,,,SunPower,SPR-327NE-WHT-D,17,Mono-c-Si,0.20052566,SMA America,sb3000tl-us-22 [240v],3.05,,,19.51293962
30-09-2015,2.4112,14388,2071,RES,CA,92314,bear valley electric,1,Green Homes Of Ca,,,,,SunPower,SPR-327NE-WHT-D,8,Mono-c-Si,0.20052566,Power-One,pvi-3.0-outd-s-us-a [240v],3,0.80373335,,5.967153285
16-02-2016,5.7,26049,4701,RES,CA,92314,bear valley electric,0,Smart Solar Power,,,,,American Solar Wholesale,ASW-285M,20,Mono-c-Si,0.14732793,-1,-1,,,,4.57
23-11-2015,4.2196,27436,3797,RES,CA,92315,bear valley electric,1,Green Homes Of Ca,,,,,SunPower,SPR-327NE-WHT-D,14,Mono-c-Si,0.20052566,Power-One,pvi-4.2-outd-s-us-a [240v],4.2,1.0046667,,6.502038108
29-09-2015,3.014,17985,2610,RES,CA,92314,bear valley electric,1,Green Homes Of Ca,,,,,SunPower,SPR-327NE-WHT-D,10,Mono-c-Si,0.20052566,Power-One,pvi-3.0-outd-s-us-a [240v],3,1.0046667,,5.967153285
16-02-2016,2.8,12000,2907,RES,CA,92315,bear valley electric,0,Bear Mountain Solar Energy,,,,,-1,-1,10,-1,,Enphase Energy Inc.,m250-60-2ll-s2x (-zc) (-na) [240v],0.24,1.1666666,,4.285714286
14-09-2015,3.9182,20904,2948,RES,CA,92314,bear valley electric,1,Green Homes Of Ca,,,,,SunPower,SPR-327NE-WHT-D,13,Mono-c-Si,0.20052566,Power-One,pvi-3.8-outd-s-us-a [240v],3.8,1.0311053,,5.335102853
16-11-2015,2.4112,14926,2170,RES,CA,92314,bear valley electric,1,Green Homes Of Ca,,,,,SunPower,SPR-327NE-WHT-D,8,Mono-c-Si,0.20052566,Power-One,pvi-3.0-outd-s-us-a [240v],3,0.80373335,,6.190278699
19-02-2016,3.36,11940,2572,RES,CA,92314,bear valley electric,0,Bear Mountain Solar Energy,,,,,-1,-1,12,-1,,Enphase Energy Inc.,m250-60-2ll-s2x (-zc) (-na) [240v],0.24,1.1666666,,3.553571429
17-02-2016,3.08,11500,2512,RES,CA,92314,bear valley electric,0,Bear Mountain Solar Energy,,,,,-1,-1,11,-1,,SolarEdge Technologies Ltd.,se3800 [240v],3.79,0.8126649,,3.733766234
22-02-2016,3.64,16087,2213,RES,CA,92315,bear valley electric,0,Pure Solar,,,,,-1,-1,13,-1,,SolarEdge Technologies Ltd.,se3000,3.01,1.2093023,,4.419505495
02-03-2016,3.36,12600,2665,RES,CA,92314,bear valley electric,0,Po Box,,,,,-1,-1,12,-1,,SolarEdge Technologies Ltd.,se3800 [240v],3.79,0.8865435,,3.75
04-03-2016,5.04,19350,4071,RES,CA,92314,bear valley electric,0,Bear Mountain Solar Energy,,,,,Silevo,U280 Black,18,Mono-c-Si,,SolarEdge Technologies Ltd.,se6000,5.33,0.945591,,3.839285714
29-02-2016,3.27,15542,2688,RES,CA,92314,bear valley electric,1,Precis Solar,,,,,SunPower,SPR-327NE-WHT-D,10,Mono-c-Si,0.20052566,ABB,pvi-3.0-outd-s-us,3,1.09,,4.752905199
08-03-2016,3.36,16500,2066,RES,CA,92314,bear valley electric,0,Barneybilt Construction,,,,,-1,-1,12,-1,,SMA America,sb4000tl-us-22 [240v],4.05,0.8296296,,4.910714286
09-03-2016,12,41280,7972,RES,CA,92315,bear valley electric,0,Bear Mountain Solar Energy,,,,,LG Electronics Inc.,LG300N1K-G4,40,Mono-c-Si,0.18896447,SolarEdge Technologies Ltd.,se7600h-us [240v],7.616,0.78781515,,3.44
10-03-2016,3.9,11400,2788,RES,CA,92315,bear valley electric,0,Bear Mountain Solar Energy,,,,,"HYUNDAI ENERGY SOLUTIONS CO., LTD.",HiS-S325TI,12,Mono-c-Si,0.16614862,SolarEdge Technologies Ltd.,se5000 [240v],4.99,0.7815631,,2.923076923
25-01-2015,2.7,5750,1628,RES,CA,92314,bear valley electric,0,Self,,,,,Centrosolar America,E270,10,Multi-c-Si,0.15527129,Enphase Energy Inc.,c250-72-2ln-s2,0.247,1.0931174,,2.12962963
14-03-2016,7.13,23000,5911,RES,CA,92315,bear valley electric,0,Treepublic Energy,,,,,LG Electronics Inc.,LG310N1C-Z4,23,Mono-c-Si,0.1952633,Enphase Energy Inc.,s280-60-ll-x [208v],0.27,1.1481482,,3.225806452
15-03-2016,7.8,28750,5525,RES,CA,92314,bear valley electric,0,Steve Cooper Construction,,,,,-1,-1,28,-1,,-1,-1,,,,3.685897436
15-03-2016,5.1,17925,3687,RES,CA,92315,bear valley electric,0,Bear Mountain Solar Energy,,,,,LG Electronics Inc.,LG300N1K-G4,17,Mono-c-Si,0.18896447,Enphase Energy Inc.,s280-60-ll-x [240v],0.27,1.1111112,,3.514705882
24-03-2016,1.5,6000,611,RES,CA,92314,bear valley electric,0,Bear Mountain Solar Energy,,,,,LG Electronics Inc.,LG300N1K-G4,5,Mono-c-Si,0.18896447,Enphase Energy Inc.,s280-60-ll-x [240v],0.27,1.1111112,,4
25-03-2016,20.1,69144,12741,RES,CA,92314,bear valley electric,0,Bear Mountain Solar Energy,,,,,LG Electronics Inc.,LG300N1K-G4,67,Mono-c-Si,0.18896447,Enphase Energy Inc.,s280-60-ll-x [240v],0.27,1.1111112,,3.44
25-03-2016,10.26,47395,5278,RES,CA,92314,bear valley electric,0,Smart Solar Power,,,,,American Solar Wholesale,ASW-285M,36,Mono-c-Si,0.14732793,-1,-1,,,,4.619395712
25-03-2016,11,50730,8074,RES,CA,92314,bear valley electric,0,Barneybilt Construction,,,,,-1,-1,44,-1,,Enphase Energy Inc.,m250-60-2ll-s2x (-zc) (-na),0.24,1.0416666,,4.611818182
29-03-2016,3.99,18234,3290,RES,CA,92314,bear valley electric,0,Smart Solar Power,,,,,American Solar Wholesale,ASW-285M,14,Mono-c-Si,0.14732793,-1,-1,,,,4.569924812
29-03-2016,2.943,11447,2307,RES,CA,92314,bear valley electric,1,Precis Solar,,,,,SunPower,SPR-E20-327,9,Mono-c-Si,0.2006135,Power-One,pvi-3.0-outd-s-us-a [240v],3,0.981,,3.889568468
22-03-2016,2.943,15800,705,RES,CA,92314,bear valley electric,1,Smart Energy Usa,,,,,SunPower,SPR-327NE-WHT-D,9,Mono-c-Si,0.20052566,UNKNOWN,pvi-3.0-outd-s-us,3,0.981,,5.368671424
21-06-2011,1.35,16818.94,2288,RES,CA,96097,pacific power,,no match,,,195,18,Trina Solar,TSM-225PA05,6,Multi-c-Si,0.13903007,Enphase Energy Inc.,m190-72-240-sxx (-na),0.19,,,12.45847407
28-07-2011,13.8,85786.53,23476,RES,CA,96067,pacific power,,no match,,,195,25,REC Solar,REC230PE (BLK),60,Multi-c-Si,0.13939267,SMA America,sb6000us [240v],6,,,6.216415217
18-08-2011,7.6,42209.73,12522,RES,CA,96097,pacific power,,no match,,,170,25,Mage Solar,Powertec Plus 190/5MI,40,Mono-c-Si,0.14882818,Fronius USA,ig plus a 7.5 [240v],7.5,,,5.553911842
25-08-2011,3.04,18555.71,4932,RES,CA,96097,pacific power,,no match,,,140,15,Mage Solar,Powertec Plus 190/5MI,16,Mono-c-Si,0.14882818,Fronius USA,ig 3000 neg,2.7,,,6.103851974
26-08-2011,4.62,15669,8190,RES,CA,96067,pacific power,,no match,,,180,22.5,-1,-1,22,-1,,Enphase Energy Inc.,m210-84-240-sxx-na,0.21,,,3.391558442
08-09-2011,5.7,30707.57,9294,RES,CA,96050,pacific power,,no match,,,193,12,Mage Solar,Powertec Plus 190/5MI,30,Mono-c-Si,0.14882818,Fronius USA,ig 5100 neg,5.1,,,5.387292982
08-09-2011,5.805,34216,9776,RES,CA,95531,pacific power,,no match,,,270,30,-1,-1,27,-1,,PV Powered,pvp2500 [240v],2.5,,,5.894229113
14-09-2011,4.05,27985,7084,RES,CA,96067,pacific power,,no match,,,186,30,SunPower,SPR-225E-BLK-D,18,Mono-c-Si,0.18085624,SunPower,spr-4000m [240v],4,,,6.909876543
14-09-2011,9.165,55644,11906,RES,CA,96025,pacific power,,no match,,,199,18,SunPower,SER-235P,39,Multi-c-Si,0.14462437,SunPower,spr-8000m [240v],7.6,,,6.071358429
14-09-2011,7.6,41354,9788,RES,CA,96097,pacific power,,no match,,,155,25,Mage Solar,Powertec Plus 190/5MH,40,Mono-c-Si,0.14882818,Fronius USA,ig plus a 7.5 [240v],7.5,,,5.441315789
15-09-2011,6.08,34698.05,7871,RES,CA,96097,pacific power,,no match,,,150,18,Mage Solar,Powertec Plus 190/5MH,32,Mono-c-Si,0.14882818,Fronius USA,ig plus a 6.0 [240v],6,,,5.706916118
23-09-2011,2.4,16507,3150,RES,CA,96067,pacific power,,no match,,,223,26,SunPower,SPR-240E-WHT-D,10,Mono-c-Si,0.19291332,SunPower,spr-4000m [240v],4,,,6.877916667
29-09-2011,3.84,27912,5015,RES,CA,96067,pacific power,,no match,,,195,18,SunPower,SPR-240E-WHT-D,16,Mono-c-Si,0.19291332,SunPower,spr-5000m [240v],5,,,7.26875
29-09-2011,13.76,59229.3,9611,RES,CA,96101,pacific power,,no match,,,180,35,REC Solar,REC215AE-US (BLK),64,Multi-c-Si,0.13030185,SMA America,sb7000us [208v],7,,,4.304454942
06-10-2011,10.752,67883,15380,RES,CA,95531,pacific power,,no match,,,162,29,Sharp,ND-224QCJ,48,Multi-c-Si,0.14243057,SMA America,sb5000us [240v],5,,,6.313523065
10-10-2011,5.64,27734.75,9532,RES,CA,96094,pacific power,,no match,,,180,35,"Chint Solar (Zhejiang) Co., Ltd.",CHSM6610M-235,24,Mono-c-Si,0.14311048,Enphase Energy Inc.,m190-72-240-sxx (-na),0.19,,,4.917508865
28-10-2011,5.13,32185,8716,RES,CA,96064,pacific power,,no match,,,180,30,Mage Solar,Powertec Plus 190/5MH,27,Mono-c-Si,0.14882818,Fronius USA,ig 5100 neg,5.1,,,6.273879142
08-11-2011,6.345,38657.24,10974,RES,CA,96067,pacific power,,no match,,,180,31,"Chint Solar (Zhejiang) Co., Ltd.",CHSM6610P-235,27,Multi-c-Si,0.14311048,Enphase Energy Inc.,m215-60-2ll-s2x,0.215,,,6.092551615
15-11-2011,5.865,38123,7634,RES,CA,96101,pacific power,,no match,,,180,20.5,-1,-1,23,-1,,Enphase Energy Inc.,m215-60-2ll-s2x,0.215,,,6.500085251
17-11-2011,5.17,31200,6681,RES,CA,96067,pacific power,,no match,,,180,22,SunPower,T5-SER-235P,22,Multi-c-Si,0.14462437,SunPower,spr-5000m [240v],5,,,6.034816248
09-01-2012,6.21,38880,8099,RES,CA,96094,pacific power,,no match,,,180,21,SunPower,SPR-230E-WHT-D,27,Mono-c-Si,0.18487528,SunPower,spr-6000m [240v],6,,,6.260869565
10-01-2012,4.14,19115.89,5358,RES,CA,96094,pacific power,,no match,,,189,19,Trina Solar,TSM-230PA05.10,18,Multi-c-Si,0.14211962,Enphase Energy Inc.,m215-60-2ll-s2x,0.215,,,4.617364734
13-01-2012,11.04,55860,18950,RES,CA,96027,pacific power,,no match,,,180,40,Trina Solar,TSM-230PA05.18,48,Multi-c-Si,0.14211962,SMA America,sb6000us [240v],6,,,5.059782609
24-01-2012,12.65,63555.75,16362,RES,CA,96094,pacific power,,no match,,,188,40,Yingli Energy (China),YL230P-29b,55,Multi-c-Si,0.14080197,Enphase Energy Inc.,m215-60-2ll-s2x [240v],0.215,,,5.02416996
29-06-2012,8.047553,16853.56,14148,RES,CA,96067,pacific power,0,Self,,,,,-1,-1,,-1,,-1,-1,,,,2.094246537
21-06-2011,1.301442,16818.94,2288,RES,CA,96097,pacific power,0,Alpine Construction And Solar,,,,,-1,-1,,-1,,-1,-1,,,,12.92331122
28-07-2011,13.360258,85786.53,23476,RES,CA,96067,pacific power,0,Alpine Construction And Solar,,,,,-1,-1,,-1,,-1,-1,,,,6.421023456
16-02-2012,3.06,27530,4930,RES,CA,96067,pacific power,0,Mount Shasta Energy Services,,,,,-1,-1,,-1,,-1,-1,,,,8.996732026
10-10-2011,5.4219165,27734.75,9532,RES,CA,96094,pacific power,0,Alpine Construction And Solar,,,,,-1,-1,,-1,,-1,-1,,,,5.115303786
13-01-2012,10.778989,55860,18950,RES,CA,96027,pacific power,0,Self,,,,,-1,-1,,-1,,-1,-1,,,,5.182304203
29-06-2012,3.585,23810,6776,RES,CA,96067,pacific power,0,Mount Shasta Energy Services,,,,,-1,-1,,-1,,-1,-1,,,,6.641562064
18-01-2013,5.251273,15732,8780,RES,CA,96097,pacific power,0,Halcyon Solar,,,,,-1,-1,,-1,,-1,-1,,,,2.995845007
04-06-2012,15.082621,145317.77,26516,RES,CA,96094,pacific power,0,Volf Construction,,,,,-1,-1,,-1,,-1,-1,,,,9.63478231
28-06-2012,6.022582,9472.91,9151,RES,CA,96067,pacific power,0,Self,,,,,-1,-1,,-1,,-1,-1,,,,1.572898468
04-10-2012,14.692416,53221.45,25519,RES,CA,96034,pacific power,0,Self,,,,,-1,-1,,-1,,-1,-1,,,,3.622375653
28-10-2011,6.292199,38657.24,10974,RES,CA,96067,pacific power,0,Alpine Construction And Solar,,,,,-1,-1,,-1,,-1,-1,,,,6.143677274
14-09-2011,4.0294647,27985,7084,RES,CA,96067,pacific power,0,Powerhouse Solar,,,,,-1,-1,,-1,,-1,-1,,,,6.945091243
19-09-2012,2.7075455,12000,4760,RES,CA,96057,pacific power,0,Self,,,,,-1,-1,,-1,,-1,-1,,,,4.432058482
26-08-2011,4.658571,15669,8190,RES,CA,96067,pacific power,0,Self,,,,,-1,-1,,-1,,-1,-1,,,,3.36347777
10-08-2011,7.122665,42209.73,12522,RES,CA,96097,pacific power,0,Electron Connection,,,,,-1,-1,,-1,,-1,-1,,,,5.926114734
04-05-2012,5.4,36000,7432,RES,CA,96094,pacific power,1,Powerhouse Solar,,,,,-1,-1,,-1,,-1,-1,,,,6.666666667
01-09-2011,5.2865396,30707.57,9294,RES,CA,96050,pacific power,0,Electron Connection,,,,,-1,-1,,-1,,-1,-1,,,,5.808633307
22-08-2011,2.805381,18555.71,4932,RES,CA,96097,pacific power,0,Electron Connection,,,,,-1,-1,,-1,,-1,-1,,,,6.614327965
24-10-2011,4.957766,32185,8716,RES,CA,96064,pacific power,0,Electron Connection,,,,,-1,-1,,-1,,-1,-1,,,,6.491835234
03-07-2012,8.536,20715.16,13167,RES,CA,96094,pacific power,0,Self,,,,,-1,-1,,-1,,-1,-1,,,,2.426799438
01-09-2011,5.5607066,34216,9776,RES,CA,95531,pacific power,0,Blue Skies Solar,,,,,-1,-1,,-1,,-1,-1,,,,6.15317485
03-10-2011,10.524161,67883,15380,RES,CA,95531,pacific power,0,Blue Skies Solar,,,,,-1,-1,,-1,,-1,-1,,,,6.450205389
23-09-2011,2.3890107,16507,3150,RES,CA,96067,pacific power,0,Powerhouse Solar,,,,,-1,-1,,-1,,-1,-1,,,,6.909554654
14-09-2011,9.029323,55644,11906,RES,CA,96025,pacific power,0,Powerhouse Solar,,,,,-1,-1,,-1,,-1,-1,,,,6.162588269
15-09-2011,5.969114,34698.05,7871,RES,CA,96097,pacific power,0,Electron Connection,,,,,-1,-1,,-1,,-1,-1,,,,5.812931366
14-09-2011,7.4229975,41354,9788,RES,CA,96097,pacific power,0,Electron Connection,,,,,-1,-1,,-1,,-1,-1,,,,5.571064789
17-11-2011,5.066978,31200,6681,RES,CA,96067,pacific power,1,Powerhouse Solar,,,,,-1,-1,,-1,,-1,-1,,,,6.157516374
22-05-2012,6.761,23500,9234,RES,CA,96067,pacific power,0,Self,,,,,-1,-1,,-1,,-1,-1,,,,3.475817187
07-12-2012,10.414949,32972.5,13732,RES,CA,96067,pacific power,0,Self,,,,,-1,-1,,-1,,-1,-1,,,,3.165882041
04-06-2012,8.70965,25000,11423,RES,CA,96067,pacific power,0,Self,,,,,-1,-1,,-1,,-1,-1,,,,2.870379407
29-09-2011,3.8030775,27912,5015,RES,CA,96067,pacific power,0,Powerhouse Solar,,,,,-1,-1,,-1,,-1,-1,,,,7.339319275
24-01-2012,12.4092045,63555.75,16362,RES,CA,96094,pacific power,0,Alpine Construction And Solar,,,,,-1,-1,,-1,,-1,-1,,,,5.121661908
15-11-2011,5.789369,38123,7634,RES,CA,96101,pacific power,0,Almanor Energy Plus,,,,,-1,-1,,-1,,-1,-1,,,,6.585000887
24-01-2012,11.0031,64802,14508,RES,CA,96134,pacific power,0,Powerhouse Solar,,,,,-1,-1,,-1,,-1,-1,,,,5.88943116
09-01-2012,6.1420326,38880,8099,RES,CA,96094,pacific power,1,Powerhouse Solar,,,,,-1,-1,,-1,,-1,-1,,,,6.330152009
06-03-2013,6.9,19122.5,8697,RES,CA,96014,pacific power,0,Whipple Electric,,,,,-1,-1,,-1,,-1,-1,,,,2.771376812
05-12-2011,3.84,20000,4962,RES,CA,96104,pacific power,0,Top Hat Energy,,,,,-1,-1,,-1,,-1,-1,,,,5.208333333
10-01-2012,4.0635934,19115.89,5358,RES,CA,96094,pacific power,0,Alpine Construction And Solar,,,,,-1,-1,,-1,,-1,-1,,,,4.70418374
22-03-2012,15.050768,54000,19094,RES,CA,96027,pacific power,0,Jody Groves Construction,,,,,-1,-1,,-1,,-1,-1,,,,3.587856779
13-03-2012,6.21,40687.25,8121,RES,CA,96094,pacific power,0,Alpine Construction And Solar,,,,,-1,-1,,-1,,-1,-1,,,,6.55189211
12-07-2012,5.8940306,34000,7309,RES,CA,96094,pacific power,1,Alpine Construction And Solar,,,,,-1,-1,,-1,,-1,-1,,,,5.768548266
02-08-2012,5.595973,30472.5,7378,RES,CA,96032,pacific power,0,Electron Connection,,,,,-1,-1,,-1,,-1,-1,,,,5.445433707
27-02-2012,5.64,48887,6492,RES,CA,96064,pacific power,0,Talbott Solar,,,,,-1,-1,,-1,,-1,-1,,,,8.667907801
14-05-2012,11.04,38299.73,10736,RES,CA,96032,pacific power,0,Self,,,,,-1,-1,,-1,,-1,-1,,,,3.469178442
08-06-2012,7.68,44750,7667,RES,CA,96094,pacific power,1,Powerhouse Solar,,,,,-1,-1,,-1,,-1,-1,,,,5.826822917
04-05-2012,7.68,45000,7674,RES,CA,96094,pacific power,1,Powerhouse Solar,,,,,-1,-1,,-1,,-1,-1,,,,5.859375
18-11-2013,9.4,37070,8849,RES,CA,96027,pacific power,0,Jody Groves Construction,,,,,-1,-1,,-1,,-1,-1,,,,3.943617021
14-03-2013,5.76,14133.36,5504,RES,CA,96058,pacific power,0,Self,,,,,-1,-1,,-1,,-1,-1,,,,2.453708333
13-12-2012,8.46,33478,8010,RES,CA,96037,pacific power,0,Jody Groves Construction,,,,,-1,-1,,-1,,-1,-1,,,,3.957210402
03-10-2012,15.672,94725,16925,RES,CA,96094,pacific power,1,Powerhouse Solar,,,,,-1,-1,,-1,,-1,-1,,,,6.044218989
29-10-2012,11.52,49878,10950,RES,CA,96067,pacific power,0,Alpine Construction And Solar,,,,,-1,-1,,-1,,-1,-1,,,,4.3296875
19-07-2012,5.425,33325,5675,RES,CA,96094,pacific power,1,Powerhouse Solar,,,,,-1,-1,,-1,,-1,-1,,,,6.142857143
16-08-2012,4.219,25500,4533,RES,CA,96094,pacific power,1,Powerhouse Solar,,,,,-1,-1,,-1,,-1,-1,,,,6.044086276
20-09-2012,4.268,20728.39,4087,RES,CA,96094,pacific power,0,Eli Jones,,,,,-1,-1,,-1,,-1,-1,,,,4.856698688
16-08-2012,6.748,47900,2591,RES,CA,96094,pacific power,1,Powerhouse Solar,,,,,-1,-1,,-1,,-1,-1,,,,7.098399526
06-09-2012,10.147,74000,10541,RES,CA,96064,pacific power,1,Powerhouse Solar,,,,,-1,-1,,-1,,-1,-1,,,,7.2927959
22-04-2013,14.883,90000,15855,RES,CA,96038,pacific power,1,Powerhouse Solar,,,,,-1,-1,,-1,,-1,-1,,,,6.04716791
04-10-2012,10.72097,45550.75,9867,RES,CA,96094,pacific power,0,Alpine Construction And Solar,,,,,-1,-1,,-1,,-1,-1,,,,4.248752678
09-10-2012,11.759621,67500,11675,RES,CA,96097,pacific power,1,Powerhouse Solar,,,,,-1,-1,,-1,,-1,-1,,,,5.739980906
09-10-2012,9.02,53500,9187,RES,CA,96097,pacific power,1,Powerhouse Solar,,,,,-1,-1,,-1,,-1,-1,,,,5.931263858
31-12-2012,7.899662,40500,7743,RES,CA,96064,pacific power,1,Powerhouse Solar,,,,,-1,-1,,-1,,-1,-1,,,,5.126801628
05-11-2012,7.278519,38545,7095,RES,CA,96037,pacific power,0,Electron Connection,,,,,-1,-1,,-1,,-1,-1,,,,5.295720187
16-11-2012,4.840591,18845,3719,RES,CA,96067,pacific power,0,Alpine Construction And Solar,,,,,-1,-1,,-1,,-1,-1,,,,3.893119662
09-01-2013,6.0646744,25750,4683,RES,CA,96067,pacific power,0,Alpine Construction And Solar,,,,,-1,-1,,-1,,-1,-1,,,,4.245899829
07-11-2013,8.82,15863.01,6579,RES,CA,95531,pacific power,0,Self,,,,,-1,-1,,-1,,-1,-1,,,,1.798527211
11-07-2013,4.35,18250,3668,RES,CA,96067,pacific power,0,Alpine Construction And Solar,,,,,-1,-1,,-1,,-1,-1,,,,4.195402299
12-11-2014,5.5404,14624,5710,RES,CA,96027,pacific power,1,Whipple Electric,,,,,-1,-1,,-1,,-1,-1,,,,2.639520612
28-08-2014,10.98,20538.75,8175,RES,CA,96094,pacific power,0,Self,,,,,-1,-1,,-1,,-1,-1,,,,1.870560109
28-10-2013,12.49,38110,7866,RES,CA,96097,pacific power,0,Halcyon Solar,,,,,-1,-1,,-1,,-1,-1,,,,3.051240993
09-09-2013,9.6588,29302.54,7404,RES,CA,96094,pacific power,0,West Coast Sustainables,,,,,-1,-1,,-1,,-1,-1,,,,3.033766099
28-08-2013,4.344,8028.74,3344,RES,CA,96014,pacific power,0,William Hilton,,,,,-1,-1,,-1,,-1,-1,,,,1.848236648
23-05-2013,13.05,35000,9957,RES,CA,96032,pacific power,0,Bradley Isabell,,,,,-1,-1,,-1,,-1,-1,,,,2.681992337
10-01-2013,2.6592,35990,1788,RES,CA,96067,pacific power,0,Alpine Construction And Solar,,,,,-1,-1,,-1,,-1,-1,,,,13.53414561
10-01-2014,2.94,11673,1848,RES,CA,96067,pacific power,0,Alpine Construction And Solar,,,,,-1,-1,,-1,,-1,-1,,,,3.970408163
14-03-2013,9.922,53568,7318,RES,CA,96097,pacific power,1,Powerhouse Solar,,,,,-1,-1,,-1,,-1,-1,,,,5.39891151
23-04-2013,26.95,120712,19467,RES,CA,96064,pacific power,1,Powerhouse Solar,,,,,-1,-1,,-1,,-1,-1,,,,4.479109462
29-05-2013,9.052,24855,5495,RES,CA,96097,pacific power,0,Bill Roberts,,,,,-1,-1,,-1,,-1,-1,,,,2.745802033
