installation_date,PV_system_size_DC,total_installed_price,rebate_or_grant,customer_segment,state,zip_code,utility_service_territory,third_party_owned,installer_name,tracking,ground_mounted,azimuth_1,tilt_1,module_manufacturer_1,module_model_1,module_quantity_1,technology_module_1,efficiency_module_1,inverter_manufacturer_1,inverter_model_1,output_capacity_inverter_1,inverter_loading_ratio,battery_rated_capacity_kWh,price_per_watt
25-02-2015,4.59,23500.8,1731,RES_SF,CA,92201,imperial irrigation district,,Tesla,0,,270,16,Kyocera Solar,KD255GX-LFB3,,Multi-c-Si,0.1607562,ABB,pvi-3.0-outd-s-us-z-a [240v],3,,,5.12
25-02-2015,10.08,46080,15075,RES_SF,CA,92253,imperial irrigation district,,Tesla,0,,86,19,SunPower,SPR-315NE-WHT-D,,Mono-c-Si,0.19316693,Fronius USA,ig plus v 10.0 [240v],10,,,4.571428571
25-02-2015,7.14,36556.8,2873,RES_SF,CA,92201,imperial irrigation district,,Tesla,0,,179,18,Kyocera Solar,KD255GX-LFB3,,Multi-c-Si,0.1607562,ABB,pvi-6000-outd-us-z-a [240v],6,,,5.12
03-03-2015,14.025,71527.5,5126,RES_SF,CA,92236,imperial irrigation district,,Tesla,0,,180,18,Kyocera Solar,KD255GX-LFB3,,Multi-c-Si,0.1607562,ABB,pvi-4.2-outd-s-us-z-a [240v],4.2,,,5.1
03-03-2015,9.18,46818,3395,RES_SF,CA,92236,imperial irrigation district,,Tesla,0,,270,18,Kyocera Solar,KD255GX-LFB3,,Multi-c-Si,0.1607562,Fronius USA,ig plus a 7.5 [240v],7.5,,,5.1
03-03-2015,14.388,75537,22801,RES_SF,CA,92253,imperial irrigation district,,Tesla,0,,90,14,SunPower,SPR-327NE-WHT-D,,Mono-c-Si,0.20052566,SunPower,spr-8000m [240v],7.6,,,5.25
03-03-2015,7.14,36556.8,2836,RES_SF,CA,92236,imperial irrigation district,,Tesla,0,,243,14,Kyocera Solar,KD255GX-LFB3,,Multi-c-Si,0.1607562,ABB,pvi-6000-outd-us-z-a [240v],6,,,5.12
04-03-2015,3.43,14337.4,1379,RES_SF,CA,92231,imperial irrigation district,,Sungevity,0,,243,18,Trina Solar,TSM-245PA05.05,,Multi-c-Si,0.15138829,SMA America,sb3000tl-us-22 [240v],3.05,,,4.18
04-03-2015,3.43,13514.2,1428,RES_SF,CA,92231,imperial irrigation district,,Sungevity,0,,140,20,Trina Solar,TSM-245PA05.05,,Multi-c-Si,0.15138829,SMA America,sb3000tl-us-22 [240v],3.05,,,3.94
04-03-2015,3.43,14337.4,1486,RES_SF,CA,92231,imperial irrigation district,,Sungevity,0,,180,15,Trina Solar,TSM-245PA05.05,,Multi-c-Si,0.15138829,SMA America,sb3000tl-us-22 [240v],3.05,,,4.18
04-03-2015,3.43,14337.4,1320,RES_SF,CA,92227,imperial irrigation district,,Sungevity,0,,270,15,Trina Solar,TSM-245PA05.05,,Multi-c-Si,0.15138829,SMA America,sb3000tl-us-22 [240v],3.05,,,4.18
04-03-2015,3.43,13514.2,1446,RES_SF,CA,92243,imperial irrigation district,,Sungevity,0,,226,20,Trina Solar,TSM-245PA05.05,,Multi-c-Si,0.15138829,SMA America,sb3000tl-us-22 [240v],3.05,,,3.94
04-03-2015,3.43,13514.2,1453,RES_SF,CA,92227,imperial irrigation district,,Sungevity,0,,135,19,Trina Solar,TSM-245PA05.05,,Multi-c-Si,0.15138829,SMA America,sb3000tl-us-22 [240v],3.05,,,3.94
04-03-2015,3.43,13514.2,1436,RES_SF,CA,92243,imperial irrigation district,,Sungevity,0,,179,15,Trina Solar,TSM-245PA05.05,,Multi-c-Si,0.15138829,SMA America,sb3000tl-us-22 [240v],3.05,,,3.94
04-03-2015,10.92,30069.47,4394,RES_SF,CA,92281,imperial irrigation district,,Yuma Solar,0,,240,20,REC Solar,REC260PE2,,Multi-c-Si,0.16394684,Fronius USA,ig plus a 10.0 [240v],10,,,2.753614469
04-03-2015,13.52,48759.8,5609,RES,CA,92243,imperial irrigation district,,Yuma Solar,0,,180,10,REC Solar,REC260PE2,,Multi-c-Si,0.16394684,Fronius USA,ig plus a 7.5 [240v],7.5,,,3.606494083
05-03-2015,7.395,37714.5,2866,RES_SF,CA,92211,imperial irrigation district,,Tesla,0,,90,22,Kyocera Solar,KD255GX-LFB3,,Multi-c-Si,0.1607562,ABB,pvi-6000-outd-us-z-a [240v],6,,,5.1
